Starting job SecondRun at 17:48 09/11/2025.
[statistics] connecting to socket on port 3445
[statistics] connected
.--------------+---------+----------+---------------+--------------+--------.
|                               Before Update                               |
|=-------------+---------+----------+---------------+--------------+-------=|
|membership_key|member_id|member_key|membership_type|effective_date|end_date|
|=-------------+---------+----------+---------------+--------------+-------=|
|500           |MEM000497|500       |Premium        |30-07-2023    |null    |
'--------------+---------+----------+---------------+--------------+--------'

Going to sleep
Woke up
Control File is arrived
.----------+---------+------+-------------+---------------+---------+-------------+--------------+-----------+----------+-------------.
|                                                              tLogRow_1                                                              |
|=---------+---------+------+-------------+---------------+---------+-------------+--------------+-----------+----------+------------=|
|member_key|member_id|gender|geography_key|membership_type|join_date|member_status|effective_date|expiry_date|is_current|date_of_birth|
|=---------+---------+------+-------------+---------------+---------+-------------+--------------+-----------+----------+------------=|
'----------+---------+------+-------------+---------------+---------+-------------+--------------+-----------+----------+-------------'

.----------+---------+------+-------------+---------------+----------+-------------+--------------+-----------+----------+-------------.
|                                                              tLogRow_2                                                               |
|=---------+---------+------+-------------+---------------+----------+-------------+--------------+-----------+----------+------------=|
|member_key|member_id|gender|geography_key|membership_type|join_date |member_status|effective_date|expiry_date|is_current|date_of_birth|
|=---------+---------+------+-------------+---------------+----------+-------------+--------------+-----------+----------+------------=|
|1         |MEM000008|F     |2565         |Basic          |14-05-2025|Active       |14-05-2025    |null       |true      |15-02-1964   |
|2         |MEM000508|F     |2565         |Family         |14-05-2025|Active       |14-05-2025    |null       |true      |15-02-1964   |
|3         |MEM000012|F     |1796         |Premium        |03-10-2024|Active       |03-10-2024    |null       |true      |08-10-1983   |
|4         |MEM000014|F     |1796         |Student        |17-06-2023|Active       |17-06-2023    |null       |true      |10-12-2003   |
|5         |MEM000021|M     |1796         |Family         |26-03-2023|Active       |26-03-2023    |null       |true      |12-01-1983   |
|6         |MEM000023|M     |1796         |Basic          |27-10-2023|Inactive     |27-10-2023    |null       |true      |25-04-1952   |
|7         |MEM000029|M     |1796         |Premium        |26-12-2022|Active       |26-12-2022    |null       |true      |24-01-1997   |
|8         |MEM000042|F     |1796         |Family         |26-03-2023|Active       |26-03-2023    |null       |true      |25-06-1979   |
|9         |MEM000044|F     |1796         |Premium        |07-01-2023|Active       |07-01-2023    |null       |true      |13-08-1972   |
|10        |MEM000047|M     |1796         |Premium        |01-02-2024|Inactive     |01-02-2024    |null       |true      |16-06-1987   |
|11        |MEM000005|M     |1152         |Basic          |11-12-2023|Active       |11-12-2023    |null       |true      |16-07-1995   |
|12        |MEM000011|F     |1152         |Basic          |29-04-2023|Active       |29-04-2023    |null       |true      |07-02-1991   |
|13        |MEM000017|M     |1152         |Student        |28-11-2023|Active       |28-11-2023    |null       |true      |23-02-2006   |
|14        |MEM000028|F     |1152         |Premium        |05-04-2024|Active       |05-04-2024    |null       |true      |17-07-1996   |
|15        |MEM000034|M     |1152         |Student        |26-05-2024|Active       |26-05-2024    |null       |true      |28-09-2004   |
|16        |MEM000036|M     |1152         |Basic          |23-02-2023|Active       |23-02-2023    |null       |true      |25-12-1979   |
